Source,Target,Type,Id,Label,Weight
1,17,Undirected,185,,2
1,46,Undirected,186,,2
2,18,Undirected,187,,2
2,23,Undirected,188,,2
2,33,Undirected,189,,2
2,31,Undirected,190,,2
3,15,Undirected,191,,2
3,43,Undirected,192,,2
4,11,Undirected,193,,2
4,16,Undirected,194,,2
4,19,Undirected,195,,2
4,22,Undirected,196,,2
4,25,Undirected,197,,2
4,41,Undirected,198,,2
4,42,Undirected,199,,2
4,45,Undirected,200,,2
5,24,Undirected,201,,2
5,35,Undirected,202,,2
5,38,Undirected,203,,2
5,47,Undirected,204,,2
6,15,Undirected,205,,2
6,16,Undirected,206,,2
6,27,Undirected,207,,2
6,32,Undirected,208,,2
7,9,Undirected,209,,2
7,31,Undirected,210,,2
7,40,Undirected,211,,2
8,18,Undirected,212,,2
8,33,Undirected,213,,2
8,37,Undirected,214,,2
8,40,Undirected,215,,2
8,46,Undirected,216,,2
9,19,Undirected,218,,2
9,31,Undirected,219,,2
9,40,Undirected,220,,2
9,42,Undirected,221,,2
11,16,Undirected,224,,2
11,35,Undirected,225,,2
11,41,Undirected,226,,2
12,16,Undirected,227,,2
13,24,Undirected,228,,2
13,38,Undirected,229,,2
14,34,Undirected,230,,2
14,44,Undirected,231,,2
14,38,Undirected,232,,2
15,16,Undirected,235,,2
15,22,Undirected,236,,2
15,27,Undirected,237,,2
15,30,Undirected,238,,2
15,43,Undirected,239,,2
15,45,Undirected,240,,2
16,27,Undirected,246,,2
16,32,Undirected,247,,2
16,35,Undirected,248,,2
16,45,Undirected,249,,2
17,38,Undirected,251,,2
17,46,Undirected,252,,2
18,46,Undirected,255,,2
18,33,Undirected,256,,2
19,37,Undirected,259,,2
19,40,Undirected,260,,2
19,41,Undirected,261,,2
19,42,Undirected,262,,2
19,47,Undirected,263,,2
21,48,Undirected,264,,2
22,39,Undirected,267,,2
22,42,Undirected,268,,2
22,45,Undirected,269,,2
22,49,Undirected,270,,2
23,31,Undirected,272,,2
23,33,Undirected,273,,2
23,40,Undirected,274,,2
24,26,Undirected,277,,2
24,38,Undirected,278,,2
25,45,Undirected,280,,2
26,5,Undirected,281,,1
26,35,Undirected,283,,2
26,38,Undirected,284,,2
29,37,Undirected,288,,2
29,47,Undirected,289,,2
31,40,Undirected,295,,2
33,40,Undirected,302,,2
34,44,Undirected,304,,2
34,38,Undirected,305,,2
35,38,Undirected,310,,2
35,41,Undirected,311,,2
35,47,Undirected,312,,2
36,43,Undirected,313,,2
37,40,Undirected,317,,2
37,47,Undirected,318,,2
38,47,Undirected,327,,2
41,47,Undirected,341,,2
